"Language Packs","Pacchetti di Lingua"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attenzione: Il tuo Locale pacchetto non corrisponde alla versione di Magento. <a href='%s'>Ottenere maggiori informazioni qui.</a>"
"Argentina","Argentina"
"Chile","Chile"
"Colombia","Colombia"
"Spain","Spagna"
"Mexico","Messico"
"Spanish (Argentina)","Spagnolo (Argentina)"
"Spanish (Chile)","Spagnolo (Chile)"
"Spanish (Colombia)","Spagnolo (Colombia)"
"Spanish (Spain)","Spagnolo (Spagna)"
"Spanish (Mexico)","Spagnolo (Messico)"
"Spanish (Custom)","Spagnolo (Personalizzata)"
"Spanish language package es_AR - Community Edition (CE)","Pacchetto di lingua spagnola es_AR - Community Edition (CE)"
"Spanish language package es_CL - Community Edition (CE)","Pacchetto di lingua spagnola es_CL - Community Edition (CE)"
"Spanish language package es_CO - Community Edition (CE)","Pacchetto di lingua spagnola es_CO - Community Edition (CE)"
"Spanish language package es_ES - Community Edition (CE)","Pacchetto di lingua spagnola es_ES - Community Edition (CE)"
"Spanish language package es_MX - Community Edition (CE)","Pacchetto di lingua spagnola es_MX - Community Edition (CE)"
"Spanish language package es_ZZ - Community Edition (CE)","Pacchetto di lingua spagnola es_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Il <span style='color:red'>%s</span> language pack nella versione <span style='color:red'>%s</span> è stato installato correttamente."
"On the <a href='%s'>Magento Connect page of the Spanish language pack</a>, you can find more information on the latest versions.","Sulla pagina <a href='%s'>Magento Connect del pacchetto di lingua spagnola</a>, è possibile trovare maggiori informazioni sulle ultime versioni."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Per chi fosse interessato vi è un <a href='%s'>GitHub repository</a>. Esso è fornito per le seguenti finalità:"
"Development of current language pack versions","Sviluppo di versioni correnti di pacchetto di lingua"
"Report an error / send in patches, also happy for both published releases","Report an error / send in patches, also happy for both published releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (regardless of official sources)"
"Copy / forks for their own purposes","Copy / forks for their own purposes"
"Active participation in the language pack","Active participation in the language pack"
"View Preview versions & test","View Preview versions & test"
"Note for detailed information, the README file on the GitHub page.","Note for detailed information, the README file on the GitHub page."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!"
"powered by","powered by"
"and","e"
"Translate Magento Connect Manager","Tradotto Magento Connect Manager"
"To install the translation for the Magento Connect Manager, proceed as follows:","To install the translation for the Magento Connect Manager, proceed as follows:"
"In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s"".","In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s""."
"The directory","The directory"
"or","o"
"from","da"
"rename into ""template""","rinominare in ""template"""
"The Magento Connect Manager should be changed to Spanish now.","Il Magento Connect Manager dovrebbe essere modificato in <span style='color:red'>Spagnolo</span> ora."
"Please note:","Please note:"
"If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!","If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!"
"The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps.","The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps."
"Using your own translations","Utilizzando le proprie traduzioni"
"Recommended extensions","Recommended extensions"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions."
"Specific market adjustment for","Regolazione specifica di mercato per"
"Spanish and European stores","Negozi spagnoli ed europei"
"Preconfigured for the Spanish market","Pre configurato per il mercato spagnolo"
"Currently not available","Attualmente non disponibile"
"Common payment methods","Common payment methods"
"Debit / direct debit","Debit / direct debit"
"Cash On Delivery","Cash On Delivery"
"Payment in Advance","Payment in Advance"
"Extension Key for the","Extension Key for the"
"on","per"
"More Infos here soon!","Più informazioni qui presto!"
"Translate TinyMCE","Tradotto TinyMCE"
"Use Spanish language for TinyMCE Editor?","Usa lingua spagnola per TinyMCE Editor?"
"custom stores","negozi personalizzati"
"This is your individual language pack that is only managed and maintained by you.","This is your individual language pack that is only managed and maintained by you."
"Adjust the file ""%s"" with your name and the link to your website.","Adjust the file ""%s"" with your name and the link to your website."
"Fill out the language files in ""app/locale/es_ZZ"" with your own translations and never lose again your customizations.","Fill out the language files in ""app/locale/es_ZZ"" with your own translations and never lose again your customizations."
